side,price,amount
buy,68436.96,0.0031
buy,68435.75,0.03835513
buy,68432.54,0.15342054
buy,68430.0,0.7
buy,68427.3,0.0031
buy,68427.0,3.0
buy,68426.1,0.35
buy,68421.56,0.00283759
buy,68420.45,0.0031
buy,68419.0,1.45
buy,68418.7,0.13753041
buy,68417.45,0.76710266
buy,68410.69,0.0031
buy,68408.61,0.20852379
buy,68405.44,0.0396
buy,68403.27,0.0031
buy,68396.44,0.0031
buy,68396.35,0.197371
buy,68393.82,0.197368
buy,68385.92,0.08093506
buy,68385.91,0.0031
buy,68385.2,0.6070086
buy,68379.08,0.0031
buy,68378.44,0.76710267
buy,68372.38,0.0031
buy,68371.22,0.0264
buy,68365.53,0.0031
buy,68346.53,0.0031
buy,68345.85,0.374141
buy,68338.13,0.0031
buy,68337.47,0.388329
buy,68332.01,0.014479
buy,68324.16,0.02616491
buy,68313.02,0.0031
buy,68312.57,1.710614
buy,68311.62,0.30330734
buy,68299.34,0.0031
buy,68288.14,2.770372
buy,68282.32,0.0031
buy,68268.13,0.0031
buy,68261.29,0.0031
buy,68256.04,3.141645
buy,68253.04,0.0031
buy,68246.2,0.0031
buy,68243.24,2.08523788
buy,68235.31,0.0031
buy,68228.47,0.0031
buy,68221.64,0.0031
buy,68218.7,0.61979073
buy,68213.52,0.014469
sell,68448.33,0.0023
sell,68448.35,0.03835513
sell,68450.05,0.0093675
sell,68451.3,0.15342054
sell,68454.0,0.7
sell,68462.0,3.0
sell,68465.29,0.01101939
sell,68469.46,0.76710266
sell,68473.88,0.0396
sell,68475.3,0.35
sell,68483.0,1.45
sell,68484.64,0.18956708
sell,68487.75,0.62893833
sell,68495.69,0.0031
sell,68496.14,0.197322
sell,68496.56,0.197323
sell,68508.1,0.0264
sell,68508.47,0.76710267
sell,68509.16,0.341449
sell,68511.6,0.014479
sell,68516.76,0.18956708
sell,68546.68,0.02657482
sell,68569.8,0.60917298
sell,68585.14,0.18956708
sell,68600.6,0.61239915
sell,68604.1,0.59434897
sell,68621.63,0.01447
sell,68653.52,2.08523788
sell,68656.5,1.41089478
sell,68709.56,0.001315
sell,68733.0,1.5
sell,68798.46,1.5
sell,68800.0,0.2
sell,68897.4,0.79804642
sell,68922.1,0.01442815
sell,68938.2,0.39853316
sell,68955.62,0.00021763
sell,69000.0,1.01599147
sell,69029.65,0.00118962
sell,69036.15,0.00022
sell,69037.97,0.0013941
sell,69041.57,0.00106855
sell,69125.76,1.5
sell,69172.22,0.00093188
sell,69185.14,0.00038157
sell,69191.22,1.5
sell,69200.0,0.0249354
sell,69212.35,0.02965498
sell,69220.07,0.001
sell,69233.51,0.00131086
