side,price,amount
buy,1987.46,0.0455
buy,1987.42,0.0787
buy,1987.37,0.0787
buy,1987.18,0.0455
buy,1986.97,0.0455
buy,1986.96,1.35
buy,1986.84,3.965526
buy,1986.7,32.106905
buy,1986.64,0.0455
buy,1986.25,0.0455
buy,1986.12,0.9
buy,1986.08,3.848
buy,1985.85,0.0455
buy,1985.83,5.283
buy,1985.65,0.0455
buy,1985.53,25.672109
buy,1985.49,30.0
buy,1985.47,30.0
buy,1985.32,0.0455
buy,1985.3,20.0
buy,1985.11,0.0455
buy,1985.0,0.100755
buy,1984.94,8.28135
buy,1984.91,0.0455
buy,1984.64,0.0455
buy,1984.44,0.0455
buy,1984.33,9.767272
buy,1984.06,0.0332
buy,1983.97,0.387
buy,1983.96,0.812343
buy,1983.84,0.0455
buy,1983.78,3.606055
buy,1983.64,0.0455
buy,1983.24,0.070711
buy,1983.11,17.621648
buy,1983.04,0.0455
buy,1982.97,0.812343
buy,1982.79,0.0455
buy,1982.67,0.448677
buy,1982.59,0.0455
buy,1982.39,0.0455
buy,1982.22,33.585232
buy,1982.19,0.0455
buy,1981.99,0.0455
buy,1981.98,4.874058
buy,1981.79,0.0455
buy,1981.59,0.0455
buy,1981.33,0.387
buy,1981.19,0.0455
buy,1981.04,37.658295
sell,1987.55,0.0455
sell,1987.62,0.0787
sell,1987.81,0.0332
sell,1988.0,0.0332
sell,1988.02,0.0455
sell,1988.17,32.090135
sell,1988.19,0.0332
sell,1988.22,0.0455
sell,1988.41,5.098
sell,1988.42,0.0455
sell,1988.44,30.0
sell,1988.59,0.0332
sell,1988.6,20.0
sell,1988.62,0.0455
sell,1988.64,1.35
sell,1988.67,5.283
sell,1988.76,0.503165
sell,1988.79,0.0332
sell,1988.82,0.0455
sell,1989.07,0.59364
sell,1989.19,0.0332
sell,1989.22,25.717609
sell,1989.29,0.356178
sell,1989.39,0.0332
sell,1989.4,8.315467
sell,1989.42,0.0455
sell,1989.48,0.9
sell,1989.59,0.0332
sell,1989.62,0.0455
sell,1989.78,4.283957
sell,1989.79,0.0332
sell,1989.82,0.0455
sell,1990.19,5.706505
sell,1990.39,0.0332
sell,1990.47,3.790438
sell,1990.59,0.0332
sell,1991.26,0.387
sell,1991.39,17.167122
sell,1991.9,8.547011
sell,1991.95,8.276876
sell,1992.28,31.464917
sell,1992.85,0.387
sell,1993.46,38.177465
sell,1994.9,8.290858
sell,1995.14,0.035
sell,1995.3,19.066066
sell,1995.95,50.0
sell,1996.93,37.959984
sell,1997.36,44.905456
sell,1997.37,0.240574
