side,price,amount
buy,84.852,0.3796
buy,84.851,500.0
buy,84.846,0.6548
buy,84.837,0.6548
buy,84.827,0.3796
buy,84.826,0.2752
buy,84.825,40.340197
buy,84.818,0.3796
buy,84.813,0.2752
buy,84.805,0.3796
buy,84.804,0.2752
buy,84.803,0.000083
buy,84.796,0.3796
buy,84.795,0.2752
buy,84.787,118.249282
buy,84.786,0.2752
buy,84.784,8.285918
buy,84.783,5.042197
buy,84.779,50.849272
buy,84.778,0.3796
buy,84.777,2.0392
buy,84.769,0.3796
buy,84.745,50.849272
buy,84.742,0.3796
buy,84.741,0.2752
buy,84.733,0.3796
buy,84.732,0.2752
buy,84.727,10.100297
buy,84.724,5.421797
buy,84.723,0.2752
buy,84.722,80.807123
buy,84.715,0.3796
buy,84.714,0.2752
buy,84.707,82.281521
buy,84.706,0.3796
buy,84.705,0.2752
buy,84.703,80.816002
buy,84.699,78.233957
buy,84.697,0.3796
buy,84.696,0.2752
buy,84.688,0.3796
buy,84.679,0.3796
buy,84.676,37.057324
buy,84.669,0.2752
buy,84.661,0.3796
buy,84.66,0.2752
buy,84.652,0.3796
buy,84.643,0.3796
buy,84.641,353.90895
buy,84.638,80.663458
sell,84.855,0.6548
sell,84.856,0.6548
sell,84.857,0.6548
sell,84.858,0.6548
sell,84.859,0.3796
sell,84.862,0.2752
sell,84.863,0.3796
sell,84.883,0.2752
sell,84.886,500.0
sell,84.89,0.3796
sell,84.892,0.2752
sell,84.901,81.84303
sell,84.904,0.3796
sell,84.91,0.2752
sell,84.913,0.3796
sell,84.915,50.849272
sell,84.919,0.2752
sell,84.921,7.359062
sell,84.922,0.3796
sell,84.928,0.2752
sell,84.987,35.314
sell,84.994,0.3796
sell,85.0,50.849272
sell,85.003,0.3796
sell,85.007,69.59046
sell,85.012,0.3796
sell,85.047,1.766
sell,85.048,0.3796
sell,85.057,78.203788
sell,85.1,328.241424
sell,85.143,673.812118
sell,85.147,81.486109
sell,85.218,2.447639
sell,85.236,1.766
sell,85.255,82.908044
sell,85.281,3.995037
sell,85.336,79.971558
sell,85.367,708.076674
sell,85.395,185.347258
sell,85.472,0.235
sell,85.627,2091.171679
sell,85.629,108.513761
sell,85.706,55.569855
sell,85.726,3.974285
sell,85.732,131.970058
sell,85.83,0.994
sell,85.882,0.011642
sell,85.962,1.218248
sell,86.043,0.078
sell,86.1,5.0
