Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1773778950,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1773778951,100,,Aggregated,0.000000,0.000000,150,420,480,500,530,650,700,700,710,710,710,240,0,150.0,277.0494297458333,22.19986900000004,705.759643,2.4375
1773778952,200,,Aggregated,0.000000,0.000000,370,500,520,540,630,700,740,950,1100,1100,1100,310,0,360.0,345.52998468064504,22.19986900000004,1074.340086,2.661290322580645
1773778953,300,,Aggregated,212.000000,0.000000,700,960,1100,1300,1400,1400,1500,1700,1800,1800,1800,589,0,700.0,733.6081037249578,22.19986900000004,1766.718526,3.132427843803056
1773778954,400,,Aggregated,212.000000,0.000000,920,1200,1300,1300,1400,1500,1600,1700,1800,1800,1800,729,0,920.0,848.2499898641979,22.19986900000004,1766.718526,3.230452674897119
1773778955,500,,Aggregated,150.000000,0.000000,960,1300,1300,1300,1600,2000,2100,2100,2700,2700,2700,784,0,960.0,934.5406577448988,22.19986900000004,2683.2226549999996,3.36734693877551
1773778956,500,,Aggregated,150.000000,0.000000,1200,1300,1800,1900,2000,2100,2600,2700,2700,2700,2700,968,0,1200.0,1142.0551681776867,22.19986900000004,2705.1476439999997,3.393595041322314
1773778957,500,,Aggregated,182.250000,0.000000,1300,1900,2100,2500,2800,2800,2900,3400,3500,3500,3500,1218,0,1300.0,1469.8876289376033,22.19986900000004,3469.1947280000004,3.5344827586206895
1773778958,500,,Aggregated,161.333333,0.000000,1700,2400,2600,2700,2800,2800,3300,3500,3800,3800,3800,1447,0,1700.0,1673.1060416406358,22.19986900000004,3809.047883999999,3.5556323427781615
1773778959,500,,Aggregated,161.333333,0.000000,1700,2400,2600,2700,2800,2800,3300,3500,3800,3800,3800,1447,0,1700.0,1673.1060416406358,22.19986900000004,3809.047883999999,3.5556323427781615
1773778960,500,,Aggregated,174.000000,0.000000,2000,2700,2700,2800,2900,3000,3500,4300,4400,4400,4400,1707,0,2000.0,1875.2470781405968,22.19986900000004,4383.646017000001,3.717047451669596
